"id","b_bpurp_1","b_bpurp_2","b_bpurp_3","b_bpurp_4","fu1_bpurp_1","fu1_bpurp_2","fu1_bpurp_3","fu1_bpurp_4","fu2_bpurp_1","fu2_bpurp_2","fu2_bpurp_3","fu2_bpurp_4","b_pilea_eng_1","b_pilea_eng_2","b_pilea_eng_3","b_pilea_bey_4","b_pilea_bey_5","b_pilea_bey_6","fu1_pilea_eng_1","fu1_pilea_eng_2","fu1_pilea_eng_3","fu1_pilea_bey_4","fu1_pilea_bey_5","fu1_pilea_bey_6","fu2_pilea_eng_1","fu2_pilea_eng_2","fu2_pilea_eng_3","fu2_pilea_bey_4","fu2_pilea_bey_5","fu2_pilea_bey_6","b_shs_gh_a","b_shs_rh_a","b_shs_ch_a","b_shs_ch_b_r","fu1_shs_gh_a","fu1_shs_rh_a","fu1_shs_ch_a","fu1_shs_ch_fu1_r","fu2_shs_gh_a","fu2_shs_rh_a","fu2_shs_ch_a","fu2_shs_ch_b_r","b_purpose_pomp","fu1_purpose_pomp","fu2_purpose_pomp","b_pilea_pomp","b_pilea_eng_pomp","b_pilea_bey_pomp","fu1_pilea_pomp","fu1_pilea_eng_pomp","fu1_pilea_bey_pomp","fu2_pilea_pomp","fu2_pilea_eng_pomp","fu2_pilea_bey_pomp","b_happiness_pomp","fu1_happiness_pomp","fu2_happiness_pomp","b_gshs_path_pomp","b_gshs_agen_pomp","fu1_gshs_path_pomp","fu1_gshs_agen_pomp","fu2_gshs_path_pomp","fu2_gshs_agen_pomp","b_self_control_pomp","b_autonomy_pomp","b_competence_pomp","b_relatedness_pomp","fu1_autonomy_pomp","fu1_competence_pomp","fu1_relatedness_pomp","fu2_autonomy_pomp","fu2_competence_pomp","fu2_relatedness_pomp","b_distress_intolerance_pomp","b_experiential_avoidance_pomp","b_implicit_beliefs_emotions_pomp","b_vali_con_pomp","b_vali_trad_pomp","b_vali_ben_pomp","b_vali_univ_pomp","b_vali_sd_pomp","b_vali_stim_pomp","b_vali_hed_pomp","b_vali_ach_pomp","b_vali_pow_pomp","b_vali_sec_pomp","b_valc_con_pomp","b_valc_trad_pomp","b_valc_ben_pomp","b_valc_univ_pomp","b_valc_sd_pomp","b_valc_stim_pomp","b_valc_hed_pomp","b_valc_ach_pomp","b_valc_pow_pomp","b_valc_sec_pomp","fu1_vali_con_pomp","fu1_vali_trad_pomp","fu1_vali_ben_pomp","fu1_vali_univ_pomp","fu1_vali_sd_pomp","fu1_vali_stim_pomp","fu1_vali_hed_pomp","fu1_vali_ach_pomp","fu1_vali_pow_pomp","fu1_vali_sec_pomp","fu1_valc_con_pomp","fu1_valc_trad_pomp","fu1_valc_ben_pomp","fu1_valc_univ_pomp","fu1_valc_sd_pomp","fu1_valc_stim_pomp","fu1_valc_hed_pomp","fu1_valc_ach_pomp","fu1_valc_pow_pomp","fu1_valc_sec_pomp","fu2_vali_con_pomp","fu2_vali_trad_pomp","fu2_vali_ben_pomp","fu2_vali_univ_pomp","fu2_vali_sd_pomp","fu2_vali_stim_pomp","fu2_vali_hed_pomp","fu2_vali_ach_pomp","fu2_vali_pow_pomp","fu2_vali_sec_pomp","fu2_valc_con_pomp","fu2_valc_trad_pomp","fu2_valc_ben_pomp","fu2_valc_univ_pomp","fu2_valc_sd_pomp","fu2_valc_stim_pomp","fu2_valc_hed_pomp","fu2_valc_ach_pomp","fu2_valc_pow_pomp","fu2_valc_sec_pomp","b_stress_tolerance_pomp","fu1_stress_tolerance_pomp","fu2_stress_tolerance_pomp","b_bpurp_mean_POMP","fu1_bpurp_mean_POMP","fu2_bpurp_mean_POMP","fu1_pilea_mean_POMP","b_shs_mean_POMP","fu1_shs_mean_POMP","fu2_shs_mean_POMP","fu1_gshs_mean_POMP","fu1_gshs_path_mean_POMP","fu1_gshs_agen_mean_POMP","b_bmeaq_mean_POMP","fu1_vali_con_mean_POMP","fu1_vali_trad_mean_POMP","fu1_vali_ben_mean_POMP","fu1_vali_univ_mean_POMP","fu1_vali_sd_mean_POMP","fu1_vali_stim_mean_POMP","fu1_vali_hed_mean_POMP","fu1_vali_ach_mean_POMP","fu1_vali_pow_mean_POMP","fu1_vali_sec_mean_POMP","b_bmpns_A_tot_POMP","b_bmpns_C_tot_POMP","b_bmpns_R_tot_POMP","fu1_bmpns_A_tot_POMP","fu1_bmpns_C_tot_POMP","fu1_bmpns_R_tot_POMP","b_gshs_mean_pomp","fu1_gshs_mean_pomp","fu2_gshs_mean_pomp"
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4,2,2,3,4,4,4,6,5,5,6,6,4,6,6,6,5,6,5,100,100,100,NA,NA,NA,75,50,100,79.1666666666668,58.3333333333333,100,91.6666666666667,33.3333333333333,1250,80.952380952381,80.952380952381,85.7142857142857,100,95.2380952380953,95.2380952380953,33.3333333333333,58.3333333333333,83.3333333333332,75,87.5,87.5,87.5,75,70.8333333333332,75,8,33.3333333333333,66.6666666666667,58.3333333333333,8.33333333333333,91.6666666666667,100,91.6666666666667,100,83.3333333333333,58.3333333333333,8.33333333333333,50,58.3333333333333,0,100,100,100,100,83.3333333333333,75,16.6666666666667,50,66.6666666666667,0,100,100,91.6666666666667,100,75,16.6666666666667,8.33333333333333,41.6666666666667,58.3333333333333,NA,91.6666666666667,NA,91.6666666666667,100,66.6666666666667,50,16.6666666666667,33.3333333333333,33.3333333333333,0,91.6666666666667,100,91.6666666666667,91.6666666666667,75,25,8.33333333333333,50,75,8.33333333333333,100,100,100,83.3333333333333,58.3333333333333,33.3333333333333,25,33.3333333333333,96.6666666666667,113.333333333333,116.666666666667,100,100,100,75,91.6666666666667,91.6666666666667,91.6666666666667,92.8571428571429,85.7142857142857,100,33.3333333333333,66.6666666666667,0,100,100,91.6666666666667,100,75,16.6666666666667,8.33333333333333,41.6666666666667,58.3333333333333,83.3333333333333,75,87.5,87.5,87.5,80.952380952381,92.8571428571429,95.2380952380953
24,2,3,3,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,2,NA,NA,NA,NA,NA,NA,5,4,4,6,6,4,5,6,NA,NA,NA,NA,62.5,68.75,NA,NA,NA,NA,62.5,66.6666666666668,58.3333333333333,NA,NA,NA,79.1666666666667,50,1041.66666666667,71.4285714285714,66.6666666666667,61.9047619047619,61.9047619047619,NA,NA,70,58.3333333333333,79.1666666666668,62.5,58.3333333333333,87.5,70.8333333333332,NA,NA,NA,14,31.1111111111112,66.6666666666667,66.6666666666667,41.6666666666667,66.6666666666667,66.6666666666667,75,66.6666666666667,75,33.3333333333333,33.3333333333333,33.3333333333333,66.6666666666667,50,66.6666666666667,58.3333333333333,50,58.3333333333333,66.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,50,50,83.3333333333333,91.6666666666667,75,75,75,16.6666666666667,50,50,66.6666666666667,NA,83.3333333333333,NA,66.6666666666667,83.3333333333333,75,25,41.6666666666667,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,100,NA,62.5,68.75,NA,62.5,79.1666666666667,87.5,NA,61.9047619047619,61.9047619047619,61.9047619047619,31.1111111111111,50,50,83.3333333333333,91.6666666666667,75,75,75,16.6666666666667,50,50,58.3333333333333,79.1666666666667,62.5,58.3333333333333,87.5,70.8333333333333,69.047619047619,61.9047619047619,NA
25,3,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,5,75,75,68.75,NA,NA,NA,75,75,75,75,75,75,70.8333333333333,50,1250,80.952380952381,85.7142857142857,85.7142857142857,85.7142857142857,80.952380952381,85.7142857142857,63.3333333333333,58.3333333333333,70.8333333333332,62.5,54.1666666666667,54.1666666666667,54.1666666666667,50,58.3333333333333,62.5,22,46.6666666666667,54.1666666666667,83.3333333333333,33.3333333333333,83.3333333333333,83.3333333333333,83.3333333333333,75,75,66.6666666666667,75,91.6666666666667,66.6666666666667,33.3333333333333,66.6666666666667,75,66.6666666666667,66.6666666666667,66.6666666666667,50,58.3333333333333,83.3333333333333,66.6666666666667,25,75,83.3333333333333,83.3333333333333,50,58.3333333333333,58.3333333333333,58.3333333333333,75,66.6666666666667,NA,66.6666666666667,NA,83.3333333333333,58.3333333333333,58.3333333333333,66.6666666666667,58.3333333333333,75,66.6666666666667,33.3333333333333,75,83.3333333333333,83.3333333333333,58.3333333333333,66.6666666666667,58.3333333333333,66.6666666666667,83.3333333333333,66.6666666666667,33.3333333333333,66.6666666666667,66.6666666666667,75,58.3333333333333,66.6666666666667,50,58.3333333333333,75,70,73.3333333333333,83.3333333333333,75,75,68.75,75,70.8333333333333,66.6666666666667,70.8333333333333,85.7142857142857,85.7142857142857,85.7142857142857,46.6666666666667,66.6666666666667,25,75,83.3333333333333,83.3333333333333,50,58.3333333333333,58.3333333333333,58.3333333333333,75,58.3333333333333,70.8333333333333,62.5,54.1666666666667,54.1666666666667,54.1666666666667,83.3333333333333,85.7142857142857,83.3333333333333
26,3,3,3,3,2,2,2,2,3,3,3,2,NA,NA,NA,NA,NA,NA,1,1,1,3,3,3,2,2,2,4,4,4,4,2,4,4,3,2,2,4,4,0,3,3,75,50,68.75,NA,NA,NA,50,25,75,75,50,100,58.3333333333333,16.6666666666667,833.333333333333,47.6190476190476,28.5714285714286,57.1428571428571,33.3333333333333,52.3809523809524,28.5714285714286,43.3333333333333,50,29.1666666666668,20.8333333333333,54.1666666666667,45.8333333333333,62.5,54.1666666666667,29.1666666666668,45.8333333333333,44,57.7777777777778,62.5,50,8.33333333333333,58.3333333333333,91.6666666666667,66.6666666666667,66.6666666666667,83.3333333333333,41.6666666666667,25,58.3333333333333,50,16.6666666666667,58.3333333333333,83.3333333333333,58.3333333333333,50,50,25,41.6666666666667,50,50,16.6666666666667,66.6666666666667,91.6666666666667,75,58.3333333333333,66.6666666666667,41.6666666666667,33.3333333333333,58.3333333333333,66.6666666666667,NA,58.3333333333333,NA,41.6666666666667,41.6666666666667,41.6666666666667,16.6666666666667,16.6666666666667,50,41.6666666666667,16.6666666666667,75,100,66.6666666666667,66.6666666666667,66.6666666666667,25,33.3333333333333,58.3333333333333,58.3333333333333,25,91.6666666666667,100,66.6666666666667,83.3333333333333,41.6666666666667,33.3333333333333,33.3333333333333,33.3333333333333,76.6666666666667,60,96.6666666666667,75,50,68.75,50,58.3333333333333,45.8333333333333,41.6666666666667,45.2380952380952,57.1428571428571,33.3333333333333,57.7777777777778,50,16.6666666666667,66.6666666666667,91.6666666666667,75,58.3333333333333,66.6666666666667,41.6666666666667,33.3333333333333,58.3333333333333,50,29.1666666666667,20.8333333333333,54.1666666666667,45.8333333333333,62.5,38.0952380952381,45.2380952380953,40.4761904761904
27,4,4,4,4,4,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,2,3,4,4,4,4,2,2,2,2,3,2,3,2,3,6,6,3,3,4,4,3,3,5,100,93.75,100,NA,NA,NA,87.5,75,100,54.1666666666667,50,58.3333333333333,58.3333333333333,50,1458.33333333333,66.6666666666667,100,71.4285714285714,80.952380952381,61.9047619047619,71.4285714285714,63.3333333333333,83.3333333333332,95.8333333333332,50,54.1666666666667,70.8333333333332,66.6666666666668,66.6666666666668,62.5,79.1666666666668,8,32.2222222222222,54.1666666666667,50,8.33333333333333,100,83.3333333333333,91.6666666666667,58.3333333333333,75,66.6666666666667,33.3333333333333,33.3333333333333,50,50,66.6666666666667,58.3333333333333,16.6666666666667,8.33333333333333,16.6666666666667,41.6666666666667,25,8.33333333333333,50,8.33333333333333,75,100,58.3333333333333,41.6666666666667,33.3333333333333,66.6666666666667,58.3333333333333,66.6666666666667,25,NA,91.6666666666667,NA,58.3333333333333,25,41.6666666666667,66.6666666666667,33.3333333333333,33.3333333333333,41.6666666666667,0,100,83.3333333333333,50,33.3333333333333,58.3333333333333,66.6666666666667,33.3333333333333,33.3333333333333,66.6666666666667,0,75,50,16.6666666666667,8.33333333333333,25,50,33.3333333333333,0,83.3333333333333,96.6666666666667,108.333333333333,100,93.75,100,87.5,58.3333333333333,66.6666666666667,62.5,76.1904761904762,71.4285714285714,80.9523809523809,32.2222222222222,50,8.33333333333333,75,100,58.3333333333333,41.6666666666667,33.3333333333333,66.6666666666667,58.3333333333333,66.6666666666667,83.3333333333333,95.8333333333333,50,54.1666666666667,70.8333333333333,66.6666666666667,83.3333333333333,76.1904761904761,66.6666666666667
28,4,4,3,3,4,4,3,3,3,0,3,3,NA,NA,NA,NA,NA,NA,1,1,2,2,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,5,4,4,1,5,87.5,87.5,56.25,NA,NA,NA,50,33.3333333333333,66.6666666666668,91.6666666666668,91.6666666666668,91.6666666666668,66.6666666666667,16.6666666666667,833.333333333333,85.7142857142857,100,76.1904761904761,80.952380952381,95.2380952380953,85.7142857142857,70,91.6666666666668,83.3333333333332,83.3333333333332,95.8333333333332,70.8333333333332,70.8333333333332,95.8333333333332,62.5,70.8333333333332,56,58.8888888888888,58.3333333333333,100,66.6666666666667,91.6666666666667,83.3333333333333,58.3333333333333,25,100,41.6666666666667,8.33333333333333,83.3333333333333,100,66.6666666666667,100,75,50,41.6666666666667,100,50,8.33333333333333,66.6666666666667,91.6666666666667,66.6666666666667,83.3333333333333,83.3333333333333,83.3333333333333,66.6666666666667,100,75,41.6666666666667,75,83.3333333333333,NA,83.3333333333333,NA,66.6666666666667,66.6666666666667,83.3333333333333,83.3333333333333,33.3333333333333,83.3333333333333,100,75,91.6666666666667,66.6666666666667,83.3333333333333,50,100,41.6666666666667,41.6666666666667,75,100,66.6666666666667,83.3333333333333,66.6666666666667,91.6666666666667,33.3333333333333,91.6666666666667,50,25,66.6666666666667,63.3333333333333,66.6666666666667,93.3333333333333,87.5,87.5,56.25,50,66.6666666666667,66.6666666666667,58.3333333333333,78.5714285714286,76.1904761904762,80.9523809523809,58.8888888888889,91.6666666666667,66.6666666666667,83.3333333333333,83.3333333333333,83.3333333333333,66.6666666666667,100,75,41.6666666666667,75,91.6666666666667,83.3333333333333,83.3333333333333,95.8333333333333,70.8333333333333,70.8333333333333,92.8571428571429,78.5714285714286,90.4761904761904
29,1,2,4,3,1,2,0,2,3,3,3,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,6,5,5,5,2,2,3,3,5,5,4,4,62.5,31.25,68.75,NA,NA,NA,25,25,25,50,50,50,87.5,16.6666666666667,416.666666666667,80.952380952381,85.7142857142857,85.7142857142857,71.4285714285714,90.4761904761904,100,36.6666666666667,91.6666666666668,95.8333333333332,83.3333333333332,62.5,70.8333333333332,50,95.8333333333332,79.1666666666668,75,52,36.6666666666667,58.3333333333333,66.6666666666667,0,66.6666666666667,33.3333333333333,91.6666666666667,50,83.3333333333333,66.6666666666667,83.3333333333333,58.3333333333333,91.6666666666667,91.6666666666667,91.6666666666667,91.6666666666667,100,91.6666666666667,91.6666666666667,83.3333333333333,83.3333333333333,91.6666666666667,16.6666666666667,0,50,50,91.6666666666667,33.3333333333333,83.3333333333333,75,75,41.6666666666667,16.6666666666667,NA,41.6666666666667,NA,100,25,83.3333333333333,83.3333333333333,83.3333333333333,50,41.6666666666667,16.6666666666667,33.3333333333333,50,75,41.6666666666667,66.6666666666667,75,58.3333333333333,50,50,16.6666666666667,50,58.3333333333333,41.6666666666667,41.6666666666667,66.6666666666667,83.3333333333333,50,66.6666666666667,93.3333333333333,73.3333333333333,83.3333333333333,62.5,31.25,68.75,25,87.5,41.6666666666667,75,78.5714285714286,85.7142857142857,71.4285714285714,36.6666666666667,16.6666666666667,0,50,50,91.6666666666667,33.3333333333333,83.3333333333333,75,75,41.6666666666667,91.6666666666667,95.8333333333333,83.3333333333333,62.5,70.8333333333333,50,83.3333333333333,78.5714285714286,95.2380952380953
30,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6666666666667,NA,NA,90.4761904761904,42.8571428571429,NA,NA,NA,NA,36.6666666666667,29.1666666666668,54.1666666666667,41.6666666666667,NA,NA,NA,NA,NA,NA,62,57.7777777777778,33.3333333333333,0,0,83.3333333333333,83.3333333333333,91.6666666666667,66.6666666666667,41.6666666666667,41.6666666666667,33.3333333333333,83.3333333333333,41.6666666666667,0,83.3333333333333,75,83.3333333333333,58.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,16.6666666666667,NA,NA,NA,NA,NA,57.7777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.1666666666667,54.1666666666667,41.6666666666667,NA,NA,NA,66.6666666666667,NA,NA
31,1,2,0,2,3,2,2,2,2,2,2,2,2,2,2,3,3,4,3,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,4,3,1,2,31.25,56.25,50,66.6666666666668,50,83.3333333333332,66.6666666666668,66.6666666666668,66.6666666666668,50,50,50,29.1666666666667,33.3333333333333,1111.11111111111,33.3333333333333,71.4285714285714,23.8095238095239,33.3333333333333,42.8571428571429,47.6190476190476,33.3333333333333,33.3333333333333,37.5,50,41.6666666666667,37.5,58.3333333333333,33.3333333333333,45.8333333333333,45.8333333333333,66,40,45.8333333333333,50,66.6666666666667,58.3333333333333,58.3333333333333,66.6666666666667,41.6666666666667,66.6666666666667,83.3333333333333,75,75,25,50,66.6666666666667,58.3333333333333,75,66.6666666666667,58.3333333333333,75,41.6666666666667,33.3333333333333,66.6666666666667,75,75,66.6666666666667,75,75,75,83.3333333333333,83.3333333333333,58.3333333333333,66.6666666666667,NA,75,NA,75,66.6666666666667,75,58.3333333333333,75,75,25,33.3333333333333,83.3333333333333,58.3333333333333,66.6666666666667,50,75,50,16.6666666666667,50,50,50,50,50,50,50,50,50,50,50,26.6666666666667,30,46.6666666666667,31.25,56.25,50,66.6666666666667,29.1666666666667,29.1666666666667,41.6666666666667,28.5714285714286,23.8095238095238,33.3333333333333,40,66.6666666666667,75,75,66.6666666666667,75,75,75,83.3333333333333,83.3333333333333,58.3333333333333,33.3333333333333,37.5,50,41.6666666666667,37.5,58.3333333333333,52.3809523809524,28.5714285714286,45.2380952380953
32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6666666666667,NA,NA,9.52380952380953,9.52380952380953,NA,NA,NA,NA,23.3333333333333,45.8333333333333,29.1666666666668,62.5,NA,NA,NA,NA,NA,NA,60,48.8888888888888,25,75,8.33333333333333,91.6666666666667,75,16.6666666666667,16.6666666666667,25,0,0,91.6666666666667,91.6666666666667,50,83.3333333333333,75,41.6666666666667,0,0,0,0,91.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,41.6666666666667,NA,NA,NA,NA,NA,48.8888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8333333333333,29.1666666666667,62.5,NA,NA,NA,9.52380952380953,NA,NA
33,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,4,4,4,4,4,2,0,3,4,4,4,3,5,6,6,6,4,1,5,4,5,5,5,5,100,100,100,NA,NA,NA,91.6666666666668,100,83.3333333333332,75,58.3333333333333,91.6666666666668,95.8333333333333,66.6666666666667,1527.77777777778,66.6666666666667,52.3809523809524,95.2380952380953,100,38.0952380952381,33.3333333333333,86.6666666666667,45.8333333333333,37.5,66.6666666666668,75,62.5,58.3333333333333,33.3333333333333,41.6666666666667,41.6666666666667,0,11.1111111111111,66.6666666666667,50,41.6666666666667,75,66.6666666666667,100,50,100,100,50,8.33333333333333,58.3333333333333,0,50,41.6666666666667,66.6666666666667,41.6666666666667,91.6666666666667,91.6666666666667,50,0,83.3333333333333,16.6666666666667,25,33.3333333333333,75,50,100,100,100,41.6666666666667,100,NA,33.3333333333333,NA,41.6666666666667,50,100,100,100,50,50,25,100,16.6666666666667,91.6666666666667,83.3333333333333,100,100,100,33.3333333333333,50,41.6666666666667,66.6666666666667,0,33.3333333333333,50,83.3333333333333,100,91.6666666666667,0,56.6666666666667,70,41.6666666666667,100,100,100,91.6666666666667,95.8333333333333,58.3333333333333,83.3333333333333,97.6190476190476,95.2380952380952,100,11.1111111111111,83.3333333333333,16.6666666666667,25,33.3333333333333,75,50,100,100,100,41.6666666666667,45.8333333333333,37.5,66.6666666666667,75,62.5,58.3333333333333,59.5238095238096,97.6190476190476,35.7142857142857
34,3,3,3,3,3,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,3,3,4,2,2,2,1,3,2,2,2,2,2,1,0,1,1,1,1,4,1,1,0,3,75,81.25,75,NA,NA,NA,66.6666666666668,83.3333333333332,50,50,50,50,16.6666666666667,50,1111.11111111111,47.6190476190476,42.8571428571429,80.952380952381,76.1904761904761,47.6190476190476,52.3809523809524,60,70.8333333333332,58.3333333333333,54.1666666666667,62.5,66.6666666666668,70.8333333333332,45.8333333333333,70.8333333333332,58.3333333333333,46,52.2222222222222,58.3333333333333,16.6666666666667,8.33333333333333,41.6666666666667,58.3333333333333,58.3333333333333,33.3333333333333,83.3333333333333,16.6666666666667,25,41.6666666666667,33.3333333333333,50,58.3333333333333,25,58.3333333333333,25,50,50,50,41.6666666666667,16.6666666666667,8.33333333333333,33.3333333333333,33.3333333333333,75,33.3333333333333,83.3333333333333,41.6666666666667,41.6666666666667,66.6666666666667,50,NA,66.6666666666667,NA,83.3333333333333,75,91.6666666666667,50,50,41.6666666666667,16.6666666666667,8.33333333333333,75,58.3333333333333,66.6666666666667,50,75,16.6666666666667,41.6666666666667,41.6666666666667,16.6666666666667,33.3333333333333,50,50,41.6666666666667,33.3333333333333,58.3333333333333,33.3333333333333,41.6666666666667,16.6666666666667,53.3333333333333,66.6666666666667,80,75,81.25,75,66.6666666666667,16.6666666666667,29.1666666666667,20.8333333333333,78.5714285714286,80.9523809523809,76.1904761904762,52.2222222222222,16.6666666666667,8.33333333333333,33.3333333333333,33.3333333333333,75,33.3333333333333,83.3333333333333,41.6666666666667,41.6666666666667,66.6666666666667,70.8333333333333,58.3333333333333,54.1666666666667,62.5,66.6666666666667,70.8333333333333,45.2380952380953,78.5714285714286,50
35,1,3,2,1,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,2,1,NA,NA,NA,NA,NA,NA,4,5,5,5,4,4,5,4,NA,NA,NA,NA,43.75,50,NA,NA,NA,NA,50,58.3333333333333,41.6666666666667,NA,NA,NA,79.1666666666667,33.3333333333333,833.333333333333,71.4285714285714,52.3809523809524,71.4285714285714,95.2380952380953,NA,NA,43.3333333333333,50,62.5,70.8333333333332,54.1666666666667,37.5,50,NA,NA,NA,48,52.2222222222222,29.1666666666667,0,0,50,58.3333333333333,91.6666666666667,66.6666666666667,91.6666666666667,41.6666666666667,33.3333333333333,33.3333333333333,16.6666666666667,0,16.6666666666667,25,33.3333333333333,33.3333333333333,50,33.3333333333333,33.3333333333333,8.33333333333333,8.33333333333333,0,41.6666666666667,50,50,58.3333333333333,100,66.6666666666667,58.3333333333333,33.3333333333333,25,NA,50,NA,33.3333333333333,41.6666666666667,75,75,75,41.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.3333333333333,86.6666666666667,NA,43.75,50,NA,50,79.1666666666667,70.8333333333333,NA,83.3333333333333,71.4285714285714,95.2380952380952,52.2222222222222,8.33333333333333,0,41.6666666666667,50,50,58.3333333333333,100,66.6666666666667,58.3333333333333,33.3333333333333,50,62.5,70.8333333333333,54.1666666666667,37.5,50,61.9047619047619,83.3333333333333,NA
36,4,4,4,4,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,2,1,3,4,4,4,2,2,1,3,3,3,4,3,4,3,6,5,5,5,5,5,5,4,100,75,75,NA,NA,NA,75,50,100,58.3333333333333,41.6666666666667,75,58.3333333333333,16.6666666666667,1250,71.4285714285714,66.6666666666667,85.7142857142857,90.4761904761904,76.1904761904761,71.4285714285714,33.3333333333333,83.3333333333332,87.5,79.1666666666668,87.5,66.6666666666668,62.5,75,83.3333333333332,83.3333333333332,22,40,45.8333333333333,91.6666666666667,75,91.6666666666667,75,58.3333333333333,75,91.6666666666667,33.3333333333333,33.3333333333333,50,100,75,50,50,33.3333333333333,50,58.3333333333333,41.6666666666667,50,66.6666666666667,100,83.3333333333333,100,58.3333333333333,41.6666666666667,58.3333333333333,41.6666666666667,16.6666666666667,50,50,91.6666666666667,NA,91.6666666666667,NA,66.6666666666667,58.3333333333333,33.3333333333333,0,33.3333333333333,41.6666666666667,66.6666666666667,58.3333333333333,91.6666666666667,66.6666666666667,50,75,66.6666666666667,33.3333333333333,25,41.6666666666667,58.3333333333333,66.6666666666667,66.6666666666667,58.3333333333333,25,41.6666666666667,33.3333333333333,25,25,8.33333333333333,83.3333333333333,63.3333333333333,76.6666666666667,100,75,75,75,58.3333333333333,87.5,79.1666666666667,88.0952380952381,85.7142857142857,90.4761904761905,40,100,83.3333333333333,100,58.3333333333333,41.6666666666667,58.3333333333333,41.6666666666667,16.6666666666667,50,50,83.3333333333333,87.5,79.1666666666667,87.5,66.6666666666667,62.5,69.047619047619,88.0952380952381,73.8095238095239
